lyrics,song,album,artist,genre
"Rise so high, yet so far to fall A plan of dignity and balance for all Political breakthrough, euphoria's high More borrowed money, more borrowed time Backed in a corner, caught up in the race A means to an end ended in disgrace Perspective is lost in the spirit of the chase  Foreclosure of a dream Those visions never seen Until all is lost, personal holocaust Foreclosure of a dream  Barren land that once filled the need Are worthless now, dead without a deed Slipping away from an iron grip Nature's scales are forced to tip The heartland dies, loss of all pride To leave ain't believing, so try and be tried Insufficient funds, insanity and suicide  Foreclosure of a dream Those visions never seen Until all is lost, personal holocaust Foreclosure of a dream  ""The congress will push me to raise taxes and I will say no. Read my lips...""  Now with new hope Some will be proud This is no hoax, no one pushed out Receive a reprieve and be a pioneer Break new ground of a new frontier New ideas will surely get by No deed or dividend, some may ask why You'll find the solution, the answers in the sky  Rise so high, yet so far to fall A plan of dignity and balance for all Political breakthrough, euphoria's high More borrowed money, more borrowed time  Foreclosure of a dream Those visions never seen Until all is lost, personal holocaust Foreclosure of a dream  Foreclosure of a dream Those visions never seen Until all is lost, personal holocaust Foreclosure of a dream  Holocaust",foreclosure of a dream,countdown to extinction,megadeth,heavy metal
"Hello me, meet the real me And my misfit's way of life A dark, black past is my Most valued possession Hindsight is always twenty-twenty But looking back, it's still a bit fuzzy Speak of mutually assured destruction? Nice story, tell it to Reader's Digest!  Feeling paranoid, true enemy or false friend? Anxiety's attacking me and my air is getting thin I'm in trouble for the things I haven't got to yet I'm chomping at the bit and my palms are getting wet Sweating bullets  Hello me, it's me again You can subdue, but never tame me It gives me a migraine headache Sinking down to your level Yeah, just keep on thinking it's my fault And stay an inch or two outta kicking distance Mankind has got to know Its limitations  Feeling claustrophobic, like the walls are closing in Bloodstains on my hands and I don't know where I've been I'm in trouble for the things I haven't got to yet I'm sharpening the axe and my palms are getting wet Sweating bullets  (I hear it in here...) (Bloodstains on my [choking]...) (The big axe...)  Well me, it's nice talking to myself A credit to dementia Some day you too will know my pain And smile its ""black-tooth grin"" If the war inside my head Won't take a day off, I'll be dead My icy fingers claw your back Here I come again!  Feeling paranoid, true enemy or false friend? Anxiety's attacking me and my air is getting thin Feeling claustrophobic like the walls are closing in Bloodstains on my hands and I don't know where I've been  Once you committed me Now you've acquitted me Claiming validity For your stupidity I'm chomping at the bit I'm sharpening the axe Here I come again, oh-whoa! Sweating bullets",sweating bullets,countdown to extinction,megadeth,heavy metal
"It was just another day It was just another fight It was words strung into sentences It was doomed to not be right  There is something wrong with me There is something wrong with you There is nothing left of us There is one thing I can do  Lying on your bed, Examining my head This is the part of me that hates Paybacks are a bitch I throw the switch Somewhere an electric chair awaits Hey! This was my life Hey! This was my fate  This was the wrong thing to do This was the wrong one to be doing This was the road to destiny This was the road to my ruin  Now there's motives for the suspect Now there's nothing left to say Now there's method to the madness Now there's society to pay  Lying on your bed Examining my head This is the part of me that hates Paybacks are a bitch I throw the switch Somewhere an electric chair awaits Hey! This was my life Hey! This was my fate  In our life there is if In our beliefs there's lie In our business there is s-s-sin In our bodies there is die  This was my life This was my fate This was my life This was my fate",this was my life,countdown to extinction,megadeth,heavy metal
"Endangered species, caged in fright Shot in cold blood, no chance to fight The stage is set, now pay the price An ego boost, don't think twice Technology, the battle's unfair You pull the hammer without a care Squeeze the trigger that makes you man Pseudo-safari, the hunt is canned... The hunt is canned  All are gone, all but one No contest, nowhere to run No more left, only one This is it, this is the countdown to extinction  Tell the truth, you wouldn't dare The skin and trophy, oh so rare Silence speaks louder than words Ignore the guilt, and take your turn Liars anagram is ""lairs"" Man, you were never even there Killed a few feet from the cages Point blank, you're so courageous... So courageous  All are gone, all but one No contest, nowhere to run No more left, only one This is it, this is the countdown to extinction  One hour from now Another species of life form Will disappear off the face of the planet Forever... and the rate is accelerating  All are gone, all but one No contest, nowhere to run No more left, only one This is it, this is the countdown to extinction",countdown to extinction,countdown to extinction,megadeth,heavy metal
"Do it if you dare Leaping from the sky Hurling through the air Exhilarating high See the earth below Soon to make a crater Blue sky, black death I'm off to meet my maker  Energy of the gods, adrenalin surge Won't stop till I hit the ground I'm on my way for sure Up here in the air, this will never hurt I'm on my way to impact Taste the high speed dirt  Paralyzed with fear Feel velocity gain Entering a near-catatonic state Pressure of the sound Roaring through my head Crash into the ground Damned if I'll be dead  Energy of the gods, adrenalin surge Won't stop till I hit the ground I'm on my way for sure Up here in the air, this will never hurt I'm on my way to impact Taste the high speed dirt  Jump or die!  Dropping all my weight Going down full throttle The pale horse awaits Like a genie in a bottle Fire in my veins Faster as I go I forgot my name I'm a dirt torpedo  High speed dirt High speed dirt High speed dirt High speed dirt High speed dirt High speed dirt High speed dirt High speed dirt",high speed dirt,countdown to extinction,megadeth,heavy metal
"(Psychotron!) Assassin in stealth, assailant from hell Impervious to damage Computer onboard, engaged in a war Non-stop combatant  Maybe not (maybe not) A mutant (a mutant) Maybe a man  Part bionic And organic Not a cyborg Part bionic And organic Not a cyborg Call him Psychotron  Burning inside, godspeed in glide Battle plan running A killing machine, just downright mean And forever gunning  Maybe not (maybe not) A mutant (a mutant) Maybe a man  Part bionic And organic Not a cyborg Part bionic And organic Not a cyborg Call him Psychotron  Part bionic And organic Not a cyborg Part bionic And organic Not a cyborg Call him Psychotron  Target to destroy, arms in employ Full assault fire threat Sensors indicate you will terminate Life systems disconnect  Part bionic And organic Not a cyborg Part bionic And organic Not a cyborg Call him Psychotron  Part bionic And organic Not a cyborg Part bionic And organic Not a cyborg Call him Psychotron!  Psychotron!",psychotron,countdown to extinction,megadeth,heavy metal
"Madness comes, and madness goes An insane place, with insane moves Battles without, for battles within Where evil lives and evil rules Breaking them up, just breaking them in Quickest way out, quickest relief wins Never disclose, never betray Cease to speak or cease to breathe And when you kill a man, you're a murderer Kill many, and you're a conqueror Kill them all... ooh... oh, you're a god!  - Ladies and gentlemen of the jury, Have you reached a verdict? - Yes, we have, Your Honour We find the defendant guilty, on all counts For crimes against all humanity! - By virtue of the jury's decision And the power vested in me by the State I hereby sentence you to be incarcerated with no possibility of parole For life - Life?... Whadda ya mean, life? I ain't got a life! - Boy!... Your soul better belong to Jesus! Hmmm-mmm, 'cause your ass belongs to me! Ha-ha-ha-ha-ha!  Captive honour, ain't no honour Captive honour, ain't no honour  No time for questions No time for games Start kicking ass And taking down the names A long shit list A shorter fuse He is untouchable And guarantees you'll lose  Captive honour, ain't no honour Captive honour, ain't no honour  Inside the big house His nightmare unfolds Before he got there His man-pussy was sold Black blanket welcome This tough guy's now a bitch Praying for death It can't be worse than this  Captive honour, ain't no honour Captive honour, ain't no honour  Captive honour, ain't no honour",captive honour,countdown to extinction,megadeth,heavy metal
"Welcome to our fortress tall Take some time to show you around Impossible to break these walls For you see, the steel is much too strong Computer banks to rule the world Instruments to sight the stars  Possibly, I've seen too much Hangar 18, I know too much  Foreign life forms inventory Suspended state of cryogenics Selective amnesia's the story Believed foretold but who'd suspect The military intelligence Two words combined that can't make sense  Possibly, I've seen too much Hangar 18, I know too much",hangar 18,countdown to extinction,megadeth,heavy metal
"I had wrists donning slits Flowing constantly My broken body is a wreck Wrapped around a tree A crosswalk hit and run The finish line for me People clutter in the gutter Take a look and see  No escaping pain You belong to me Clinging onto life By the skin o' my teeth  My blood flows through the streets Deluge from the wounds Empty jars of sleeping pills On the dresser in my room My wet brain neighbor cranes His neck to see in time The white lights a train Bearing down on me  No escaping pain You belong to me Clinging on to life By the skin o' my teeth  I won't feel the hurt I'm not trash any longer That that doesn't kill me Only makes me stronger I need a ride to the morgue That's what 911 is for So, tag my toe and don't forget Ooh, to close the drawer  No escaping pain You belong to me Clinging on to life By the skin o' my teeth",skin o' my teeth,countdown to extinction,megadeth,heavy metal
"Got one chance, infiltrate them Get it right, terminate them The Panzers will, permeate them Break their pride, denigrate them And their people, retrograde them Typhus, deteriorate them Epidemic, devastate them Take no prisoners, cremate them  Burn!  Going to war, give'em hell D-Day, next stop - Normandy Beginning of the end We know how to and sure as shit we'll win War is peace, sure man A retreat for the damned A playground for the demented A haven for those who walk his world Bereft of heart and soul  Love and war, they say all is fair Take his life, but won't take his hair Your body has parts your Country can spare By the way son here's Your wheelchair  He once had to be All he could be Now he's nothing for no one nowhere to see Funny thing, he's like you and me It's funny thing, a funny thing Tears streak His solemn stare Abandoned for wreckage nobody cares No one knew what would happen there No one spoke, no one even dared Don't ask what you can do for your country Ask what your country can do for you  Take no prisoners, take no shit",take no prisoners,rust in peace,megadeth,heavy metal
"Bestow upon me knowledge Wizard, all knowing, all wise  I want to rule this kingdom Make sweet the breeze, now defiled  Dethrone the evil prince's iron fists In velvet gloves of sin  Parade the grey robed monks Those vestal virgins, wheel the wyverns in  Let the ceremony consecrate the marriage Let me be the protege of five magics  Give me alchemy, give me wizardry Give me sorcery, thermatology Electricity, magic if you please Master all of these, bring him to his knees  I master five magics I master five magics I master five magics I master five magics  Possessed with hellish torment (Possessed with hellish torment) I master magics five (I master magics five) Hunting the abyss lord (Hunting the abyss lord) Only one will stay alive (Only one will stay alive)  He who lives by the sword (He who lives by the sword) Will surely also die (Will surely also die) He who lives in sin (He who lives in sin) Will surely live the lie",five magics,rust in peace,megadeth,heavy metal
"I miss the warm embrace I felt First time you touched me Secure and safe in open arms I should have known you'd crush me  A snake you were when we met I loved you anyway Pulling out your poisoned fangs The venom never goes away  Serpent swims free in my blood Dragons sleeping in my veins Jackal speaking with tongue Roach egg laying in my brain  Once stalked beneath your shadow Sleepwalking to the gallows I'm the sun that beats your brow in 'Til I finally threw the towel in  Never knowing if I'd wake up In a whirlpool got redundant My brain was just some driftwood In a cesspool, I became dead  From a rock star to a desk fool Was my destiny, someone said Loves a tidepool Taste the waters Life's abundant Taste me",poison was the cure,rust in peace,megadeth,heavy metal
"Sitting up late at night, I tiptoe through the darkness Cold as hell, black as spades, aware of my immediate surroundings In my place, I escape up into my hideout Hiding from everyone, my friends all say, ""Dave, you're mental anyway, hey"" Drift into a deeper state, stalk the cobwebbed stairways Dirt grits beneath my feet, the stair creaks, I precariously sneak, yeah  Hypnosis guides my hand, I slip-slide through the walkways Sit in granny's rocking chair, memories are whirling by, yeah Reminiscin' in the attic, Lucretia waits impatiently Cobwebs make me squint, the cobra so eloquently glints Moonbeams surge through the sky, the crystal ball is energized Surely that, like the cat, waiting, Lucretia rocks away, hey",lucretia,rust in peace,megadeth,heavy metal
"This morning I made the call The one that ends it all Hanging up, I wanted to cry But dammit, this well's gone dry Not for the money, not for the fame Not for the power, just no more games  But now I'm safe in the eye of the tornado I can't replace the lies, that let a thousand days go No more living trapped inside In her way I'll surely die In the eye of the tornado, blow me away  You'll grow to loathe my name You'll hate me just the same You won't need your breath And soon you'll meet your death Not from the years, not from the use Not from the tears, just self abuse  But now I'm safe in the eye of the tornado I can't replace the lies, that let a thousand days go No more living trapped inside In her way I'll surely die In the eye of the tornado, blow me away  Who's to say, what's for me to say? Who's to say, what's for me to be? Who's to say, what's for me to do? Cause a big nothing it'll be for me  The land of opportunity The golden chance for me My future looks so bright Now I think I've seen the light  Can't say what's on my mind Can't do what I really feel In this bed I made for me Is where I sleep, I really feel  I warn you of the fate Proven true too late Your tongue twist perverse Come drink now of this curse And now I fill your brain I spin you round again My poison fills your head As I tuck you into bed  You feel my fingertips You won't forget my lips You'll feel my cold breath It's the kiss of death",tornado of souls,rust in peace,megadeth,heavy metal
Thermal count is rising  In perpetual writhing  The primordial ooze  And the sanity they lose   Awakened in the morning  To more air pollution warnings  Still we sleepwalk off to work  While our nervous systems jerk   Pretending not to notice  How history had forebode us  With the greenhouse in effect  Our environment was wrecked   Now I can only laugh  As I read our epitaph  We end our lives as moles  In the dark of dawn patrol,dawn patrol,rust in peace,megadeth,heavy metal
"Tremble you weaklings, cower in fear I am your ruler, land, sea and air Immense in my girth, erect I stand tall I am a nuclear murderer, I am Polaris Ready to pounce at the touch of a button My system locked in on military gluttons I rule on land, air and sea Pass judgement on humanity Winds blow from the bowels of hell Will we give warning? Only time will tell Satan rears his ugly head To spit to the wind  I spread disease like a dog Discharge my payload A mile high, rotten egg air of death Wrestles your nostrils I spread disease like a dog Discharge my payload A mile high, rotten egg air of death Wrestles your nostrils  Launch the Polaris The end doesn't scare us When will this cease? The warheads will all rust in peace  Bomb shelters filled to the brim Survival, such a silly whim World leaders sell missiles cheap Your stomach turns, your flesh creeps I rule on land, air and sea Pass judgement on humanity Winds blow from the bowels of hell Will we give warning? Only time will tell  I spread disease like a dog Discharge my payload A mile high, rotten egg air of death Wrestles your nostrils I spread disease like a dog Discharge my payload A mile high, rotten egg air of death Wrestles your nostrils  Launch the Polaris The end doesn't scare us When will this cease? The warheads will all rust in peace  High priest of holocaust, fire from the sea Nuclear winter spreading disease The day of final conflict, all pay the price The Third World War rapes peace, takes life Back to the start, talk of the part When the Earth was cold as ice Total dismay as the sun passed away And the days were black as night  I spread disease like a dog Discharge my payload A mile high, rotten egg air of death Wrestles your nostrils I spread disease like a dog Discharge my payload A mile high, rotten egg air of death Wrestles your nostrils  Launch the Polaris The end doesn't scare us When will this cease? The warheads will all rust in peace  Eradication of Earth's, population loves Polaris Eradication of Earth's, population loves Polaris  Eradication of Earth's, population loves Polaris Eradication of Earth's, population loves Polaris",rust in peace...polaris,rust in peace,megadeth,heavy metal
I will give you life You'll serve only me And my will to kill You will kill for me All that I desire All that I command You are here for me I'm your Master My creation I will make for you A soul mate to love Unlike your love for me And you will take my name She will be your bride She will serve me too And I will introduce to you The Bride of Frankenstein,my creation,rust in peace,megadeth,heavy metal
"No more Mister Nice Guy Me, a nice guy? Yeah right!  I used to be such a sweet, sweet thing 'Til they got a hold of me I opened doors for little old ladies I helped the blind to see  I got no friends 'cause they read the papers They can't be seen with me And I'm gettin' real shot down And I'm feeling mean  No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy They say he's sick, he's obscene  I'm not hard to get along with... Ha! I'm impossible!  I got no friends 'cause they read the papers They can't be seen with me And I'm gettin' real shot down And I'm feeling mean  No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy They say he's sick, he's obscene  My dog bit me on the leg today My cat clawed my eye Mom's been thrown out of the social circle And Dad's had to hide I went to church incognito And everybody rose The Reverend Smith, he recognized me And punched me in the nose, he said  No more Nice guy No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy They say he's sick, he's obscene No more Mister Nice Guy No more Mister Clean No more Mister Nice Guy They say he's sick, he's obscene, oh yeah  Never said I was that nice in the first place, you know?",no more mr. nice guy,all treasures,megadeth,heavy metal
"Make up the rules for me to live by Rules you break and just let it slide You try and find you inside of me Be as great as you want me to be Hypocrite, the word that fits Do as you say Not as you do You're pushing me to a breakpoint Pushing me, push, push me to a breakpoint  Self esteem you seem to lack Point the finger There's three pointing back Control's the illusion with all good intent Bad times are contagious You laugh and infect Criticist, the word that fits Put me down to lift you up  You're pushing me to a breakpoint Pushing me, push, push me to a breakpoint  Watching pain is your only pleasure Sick fascination for someone's disaster Self suffering since you were born Mess with the bull and you'll get the horn Misery, the word that fits Can't seem to smile till someone's sad  You're pushing me to a breakpoint You're pushing me, push, push me Push, push, push me to a breakpoint  In my opinions as a professional, I recommend We straightjacket the son-of-a-bitch Lock him in a rubber room Sedate him, heavily And when he wakes up If he wakes up, we'll see If he can be a nice boy  Well... I don't know... it's gonna hurt me More that it's gonna hurt him  Let's do it!  You push me to a breakpoint, breakpoint Push me to a breakpoint, breakpoint Don't push me, you piece of shit",breakpoint,all treasures,megadeth,heavy metal
"Now I lay me down to sleep I pray the lord my soul to keep If I should die (just) before I wake I pray the lord my soul to take  I'm not going to wake up today They've pulled my plug, the picture fades And as my body decays Mold begins to fill my grave The smell of death permeates The silk within my coffin lays  Go to hell!  As they bury me now Six feet, there my body lies Still feel like I'm going down I hear a distant wailing cry God, something must have gone wrong! Much too late, I realize  Go to hell!  I saw my funeral that day I know who didn't show to mourn My judgment was life in hell Pillars of pain and thorns My only friends the goat With 666 between his horns  Go to hell!  Place all your trust here in me Rest assured these things I know And as Charon sails the sea Your journey, too shallow below Ah yes! You're all sitting ducks It's true - you reap what you sow  Go to hell!  Now I lay me down to sleep Blah blah blah, my soul to keep If I die before I wake I'll go to hell for heaven's sake!",go to hell,all treasures,megadeth,heavy metal
"The more of you that I inspect The more of me I see reflect The more I try to read your lips The more the mask you're wearing rips  But when I seek out your voice My ears are overcome with noise You show and tell with greatest ease Raving impossibilities  Engaged in crime, I grasp my throat Enraged, my mind starts to smoke Enforced mental overload Angry again, angry again, angry, ow!  And when the story takes a twist It folds like a contortionist Sleight of hand and a quick exchange The old tricks have been rearranged  Engaged in crime, I grasp my throat Enraged, my mind starts to smoke Enforce a mental overload Angry again, angry again, angry  The searing of the sinew My body fights for air The ripping of tissue My lungs begin to tear Gravity's got my bones It pulls my flesh away The steam finally dissipates I make out my sweating face  Association that I choose Game I inevitably lose Governed by laws set up by me Fracture its jaw to let me be  A cut-out cardboard condo maze Filled with an insubordinate race Irrational youths stop to stare As music rubber-hosed the air  Engaged in crime, I grasp my throat Enraged, my mind starts to smoke Enforce a mental overload Angry again, angry again, angry again And again and again, again  Engaged in crime, I grasp my throat Enraged, my mind starts to smoke Enforce a mental overload Angry again, angry again, angry, ow!",angry again,all treasures,megadeth,heavy metal
"If I see the morning hours I'll have one more yesterday Take life from tomorrow 'Cause I've burned out my today  If I get up to the top I know I'll just go back downhill Got a terminal future And it's time to write my will  Down another glass of courage And a shot of thorazine  We're not ready to see you yet Ninety-nine ways to die We're not ready to see you yet  Got a short between the earphones Wringing my hands in dismay A more efficient maniac With two feet in the grave  I ain't got no last words to say Yellow streak right up my spine The gun in my mouth was real And the taste blew my mind  In a black tie and straight jacket Man, I'm gonna try again  We're not ready to see you yet Ninety-nine ways to die We're not ready to see you yet  Demitasse of arsenic Try on this tie Never mind the tree  There is only death and danger In the sockets of my eyes A playground of illusion No one plays, they only die  There's a prison in my mind And the bars are gonna break I'm as mad as a hatter And strung out just the same  Taunting rigor mortis I feel it draw me in  We're not ready to see you yet Ninety-nine ways to die We're not ready to see you yet",99 ways to die,all treasures,megadeth,heavy metal
"Finished with my woman 'cause she couldn't help me with my mind People think that I'm insane because I'm frowning all the time  All day long I think of things but nothing seems to satisfy Think I'll lose my mind if I don't find something to pacify  Can you help me? Occupy my brain Oh, yeah Yeah, yeah  I need someone to show me the things in life that I can't find I can't see the things that make true happiness, I must be blind  Make a joke and I will sigh, and you will laugh and I will cry Happiness I cannot feel, so love to me is so unreal  And so, as you hear these words telling you now of my state I tell you to enjoy life, I wish I could, but it's too late It's too late Too late  Dave: Nick. Nick! NICK! Nick: Fuck... me... running!",paranoid,all treasures,megadeth,heavy metal
"Sacrilege and blasphemy Sets the stage today The more insatiable the sex The more swelled our tongues became  As pre-historic as it seems this is now, today As pre-historic as it seems this is now  Talkin' 'bout no vision Talkin' 'bout no dream The harlot puddles for her lies From where she speaks  I look above and see entrails in the sky This one ain't over till the fat lady dies  One man rules the world And rides the seven-headed beast Ten diadems to crown them all The world, religion at his feet  Dreams are told of dreams of old This day will surely come So, run my child and hide your face Once you've been marked, you're finished, done  You'll become one You're mine You're one  I saw a new earth today I saw a former pass away I saw a new earth today I saw a former pass away  Vengeance is mine Vengeance is mine The Netherworld and Sheol are never satisfied So the eyes of man are never satisfied  I saw a new earth today I saw a former pass away",diadems,all treasures,megadeth,heavy metal
"Too many problems, oh why am I here? I need to be me, 'cause you're all to clear And I can see there's something wrong with you Oh, what do you expect me to do? At least I gotta know what I wanna be Don't come to me if you need pity Are you lonely, you got no-one You got your body in suspension That's a problem, problem, problem The problem is you Eat your heart out on a plastic tray You don't do what you want and you fade away You work for me, you're working nine-to-five It's too much fun of being alive I'm using my feet for my human machine You work for me, living for the screen Are you lonely, all needs catered You got your brains dehydrated  Problem, problem, problem, the problem is you Oh what what you gonna do, problem, problem Problem, problem, problem, the problem is you Well, what you gonna do with your problem The problem is you, problem  I ain't death trip, but I ain't automatic You work for me, just stay ecstatic Don't you give me any orders To people like me, there is no order  Bet you thought you had it all worked out Bet you thought you knew what I was about Bet you thought you'd solved all your problems But you are the problem  Problem, problem, problem, the problem is you Oh, what you gonna do with your problem? I'll leave it up to you, oh problem The problem is you, you got a problem Oh what you gonna do? They know a doctor, gonna take you away Thay take you away and they throw away the key They don't want you and they don't want me You got a problem the problem is you Problem, well, what you gonna do? Problem, have you got a problem? Problem, well you got a problem Problem...",problems,all treasures,megadeth,heavy metal
