lyrics,song,album,artist,genre
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
"Slaves, Hebrews born to serve to the Pharaoh",creeping death,ride the lightning,metallica,heavy metal
"Heed to his every word, live in fear",creeping death,ride the lightning,metallica,heavy metal
"Faith of the unknown one, the deliverer",creeping death,ride the lightning,metallica,heavy metal
"Wait, something must be done for hundred years",creeping death,ride the lightning,metallica,heavy metal
So let it be written,creeping death,ride the lightning,metallica,heavy metal
So let it be done,creeping death,ride the lightning,metallica,heavy metal
I'm sent here by the chosen one,creeping death,ride the lightning,metallica,heavy metal
So let it be written,creeping death,ride the lightning,metallica,heavy metal
So let it be done,creeping death,ride the lightning,metallica,heavy metal
To kill the first born Pharaoh son,creeping death,ride the lightning,metallica,heavy metal
I'm creeping death,creeping death,ride the lightning,metallica,heavy metal
"Now, let my people go, land of Goshen",creeping death,ride the lightning,metallica,heavy metal
"Go, I will be with thee, bush of fire",creeping death,ride the lightning,metallica,heavy metal
"Blood, running red and strong, down the Nile",creeping death,ride the lightning,metallica,heavy metal
"Plague, darkness three days long, hail to fire",creeping death,ride the lightning,metallica,heavy metal
So let it be written,creeping death,ride the lightning,metallica,heavy metal
So let it be done,creeping death,ride the lightning,metallica,heavy metal
I'm sent here by the chosen one,creeping death,ride the lightning,metallica,heavy metal
So let it be written,creeping death,ride the lightning,metallica,heavy metal
So let it be done,creeping death,ride the lightning,metallica,heavy metal
To kill the first born Pharaoh son,creeping death,ride the lightning,metallica,heavy metal
I'm creeping death,creeping death,ride the lightning,metallica,heavy metal
Die by my hand,creeping death,ride the lightning,metallica,heavy metal
I creep across the land,creeping death,ride the lightning,metallica,heavy metal
Killing first-born man,creeping death,ride the lightning,metallica,heavy metal
Die by my hand,creeping death,ride the lightning,metallica,heavy metal
I creep across the land,creeping death,ride the lightning,metallica,heavy metal
Killing first-born man,creeping death,ride the lightning,metallica,heavy metal
"I rule the midnight air, the destroyer",creeping death,ride the lightning,metallica,heavy metal
"Born, I shall soon be there, deadly mass",creeping death,ride the lightning,metallica,heavy metal
"I creep the steps and floor, final darkness",creeping death,ride the lightning,metallica,heavy metal
"Blood, lambs blood painted door, I shall pass",creeping death,ride the lightning,metallica,heavy metal
So let it be written,creeping death,ride the lightning,metallica,heavy metal
So let it be done,creeping death,ride the lightning,metallica,heavy metal
I'm sent here by the chosen one,creeping death,ride the lightning,metallica,heavy metal
So let it be written,creeping death,ride the lightning,metallica,heavy metal
So let it be done,creeping death,ride the lightning,metallica,heavy metal
To kill the first born Pharaoh son,creeping death,ride the lightning,metallica,heavy metal
I'm creeping death,creeping death,ride the lightning,metallica,heavy metal
Make his fight on the hill in the early day,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Constant chill deep inside,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"Shouting gun, on they run through the endless grey",for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"On they fight, for the right, yes, but who's to say?",for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"For a hill, men would kill, why? They do not know",for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Stiffened wounds test their pride,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"Men of five, still alive through the raging glow",for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Gone insane from the pain that they surely know,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Time marches on,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Take a look to the sky just before you die,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
It's the last time he will,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"Blackened roar, massive roar, fills the crumbling sky",for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Shattered goal fills his soul with a ruthless cry,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Stranger now are his eyes to this mystery,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
He hears the silence so loud,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"Crack of dawn, all is gone except the will to be",for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"Now they see, what will be, blinded eyes to see",for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
Time marches on,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls (live version),ride the lightning,metallica,heavy metal
"Slaves, Hebrews born to serve to the Pharaoh",creeping death (live version),ride the lightning,metallica,heavy metal
"Heed to his every word, live in fear",creeping death (live version),ride the lightning,metallica,heavy metal
"Faith of the unknown one, the deliverer",creeping death (live version),ride the lightning,metallica,heavy metal
"Wait, something must be done for hundred years",creeping death (live version),ride the lightning,metallica,heavy metal
So let it be written,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be done,creeping death (live version),ride the lightning,metallica,heavy metal
I'm sent here by the chosen one,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be written,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be done,creeping death (live version),ride the lightning,metallica,heavy metal
To kill the first born Pharaoh son,creeping death (live version),ride the lightning,metallica,heavy metal
I'm creeping death,creeping death (live version),ride the lightning,metallica,heavy metal
"Now, let my people go, land of Goshen",creeping death (live version),ride the lightning,metallica,heavy metal
"Go, I will be with thee, bush of fire",creeping death (live version),ride the lightning,metallica,heavy metal
"Blood, running red and strong, down the Nile",creeping death (live version),ride the lightning,metallica,heavy metal
"Plague, darkness three days long, hail to fire",creeping death (live version),ride the lightning,metallica,heavy metal
So let it be written,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be done,creeping death (live version),ride the lightning,metallica,heavy metal
I'm sent here by the chosen one,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be written,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be done,creeping death (live version),ride the lightning,metallica,heavy metal
To kill the first born Pharaoh son,creeping death (live version),ride the lightning,metallica,heavy metal
I'm creeping death,creeping death (live version),ride the lightning,metallica,heavy metal
Die by my hand,creeping death (live version),ride the lightning,metallica,heavy metal
I creep across the land,creeping death (live version),ride the lightning,metallica,heavy metal
Killing first-born man,creeping death (live version),ride the lightning,metallica,heavy metal
Die by my hand,creeping death (live version),ride the lightning,metallica,heavy metal
I creep across the land,creeping death (live version),ride the lightning,metallica,heavy metal
Killing first-born man,creeping death (live version),ride the lightning,metallica,heavy metal
"I rule the midnight air, the destroyer",creeping death (live version),ride the lightning,metallica,heavy metal
"Born, I shall soon be there, deadly mass",creeping death (live version),ride the lightning,metallica,heavy metal
"I creep the steps and floor, final darkness",creeping death (live version),ride the lightning,metallica,heavy metal
"Blood, lambs blood painted door, I shall pass",creeping death (live version),ride the lightning,metallica,heavy metal
So let it be written,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be done,creeping death (live version),ride the lightning,metallica,heavy metal
I'm sent here by the chosen one,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be written,creeping death (live version),ride the lightning,metallica,heavy metal
So let it be done,creeping death (live version),ride the lightning,metallica,heavy metal
To kill the first born Pharaoh son,creeping death (live version),ride the lightning,metallica,heavy metal
I'm creeping death,creeping death (live version),ride the lightning,metallica,heavy metal
"Lashing out the action, returning the reaction",battery,master of puppets,metallica,heavy metal
Weak are ripped and torn away,battery,master of puppets,metallica,heavy metal
"Hypnotizing power, crushing all that cower",battery,master of puppets,metallica,heavy metal
Battery is here to stay,battery,master of puppets,metallica,heavy metal
"Smashing through the boundaries, lunacy has found me",battery,master of puppets,metallica,heavy metal
Cannot stop the battery,battery,master of puppets,metallica,heavy metal
"Pounding out aggression, turns into obsession",battery,master of puppets,metallica,heavy metal
Cannot kill the battery,battery,master of puppets,metallica,heavy metal
"Cannot kill the family, battery is found in me",battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
"Crushing all deceivers, mashing non-believers",battery,master of puppets,metallica,heavy metal
Never ending potency,battery,master of puppets,metallica,heavy metal
"Hungry violence seeker, feeding off the weaker",battery,master of puppets,metallica,heavy metal
Breeding on insanity,battery,master of puppets,metallica,heavy metal
"Smashing through the boundaries, lunacy has found me",battery,master of puppets,metallica,heavy metal
Cannot stop the battery,battery,master of puppets,metallica,heavy metal
"Pounding out aggression, turns into obsession",battery,master of puppets,metallica,heavy metal
Cannot kill the battery,battery,master of puppets,metallica,heavy metal
"Cannot kill the family, battery is found in me",battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
"Circle of destruction, hammer comes crushing",battery,master of puppets,metallica,heavy metal
Powerhouse of energy,battery,master of puppets,metallica,heavy metal
"Whipping up a fury, dominating flurry",battery,master of puppets,metallica,heavy metal
We create the battery,battery,master of puppets,metallica,heavy metal
"Smashing through the boundaries, lunacy has found me",battery,master of puppets,metallica,heavy metal
Cannot stop the battery,battery,master of puppets,metallica,heavy metal
"Pounding out aggression, turns into obsession",battery,master of puppets,metallica,heavy metal
Cannot kill the battery,battery,master of puppets,metallica,heavy metal
"Cannot kill the family, battery is found in me",battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
Battery,battery,master of puppets,metallica,heavy metal
"End of passion play, crumbling away",master of puppets,master of puppets,metallica,heavy metal
I'm your source of self-destruction,master of puppets,master of puppets,metallica,heavy metal
"Veins that pump with fear, sucking darkest clear",master of puppets,master of puppets,metallica,heavy metal
Leading on your death's construction,master of puppets,master of puppets,metallica,heavy metal
Taste me you will see,master of puppets,master of puppets,metallica,heavy metal
More is all you need,master of puppets,master of puppets,metallica,heavy metal
Dedicated to,master of puppets,master of puppets,metallica,heavy metal
How I'm killing you,master of puppets,master of puppets,metallica,heavy metal
Come crawling faster,master of puppets,master of puppets,metallica,heavy metal
Obey your master,master of puppets,master of puppets,metallica,heavy metal
Your life burns faster,master of puppets,master of puppets,metallica,heavy metal
Obey your master,master of puppets,master of puppets,metallica,heavy metal
Master,master of puppets,master of puppets,metallica,heavy metal
"Master of puppets, I'm pulling your strings",master of puppets,master of puppets,metallica,heavy metal
"Twisting your mind, smashing your dreams",master of puppets,master of puppets,metallica,heavy metal
"Blinded by me, you can't see a thing",master of puppets,master of puppets,metallica,heavy metal
Just call my name 'cause I'll hear you scream,master of puppets,master of puppets,metallica,heavy metal
"""Master, master""",master of puppets,master of puppets,metallica,heavy metal
Just call my name 'cause I'll hear you scream,master of puppets,master of puppets,metallica,heavy metal
"""Master, master""",master of puppets,master of puppets,metallica,heavy metal
"Needlework the way, never you betray",master of puppets,master of puppets,metallica,heavy metal
Life of death becoming clearer,master of puppets,master of puppets,metallica,heavy metal
"Pain monopoly, ritual misery",master of puppets,master of puppets,metallica,heavy metal
Chop your breakfast on a mirror,master of puppets,master of puppets,metallica,heavy metal
Taste me you will see,master of puppets,master of puppets,metallica,heavy metal
More is all you need,master of puppets,master of puppets,metallica,heavy metal
Dedicated to,master of puppets,master of puppets,metallica,heavy metal
How I'm killing you,master of puppets,master of puppets,metallica,heavy metal
Come crawling faster,master of puppets,master of puppets,metallica,heavy metal
Obey your master,master of puppets,master of puppets,metallica,heavy metal
Your life burns faster,master of puppets,master of puppets,metallica,heavy metal
Obey your master,master of puppets,master of puppets,metallica,heavy metal
Master,master of puppets,master of puppets,metallica,heavy metal
"Master of puppets, I'm pulling your strings",master of puppets,master of puppets,metallica,heavy metal
"Twisting your mind, smashing your dreams",master of puppets,master of puppets,metallica,heavy metal
"Blinded by me, you can't see a thing",master of puppets,master of puppets,metallica,heavy metal
Just call my name 'cause I'll hear you scream,master of puppets,master of puppets,metallica,heavy metal
"""Master, master""",master of puppets,master of puppets,metallica,heavy metal
Just call my name 'cause I'll hear you scream,master of puppets,master of puppets,metallica,heavy metal
"""Master, master""",master of puppets,master of puppets,metallica,heavy metal
"Master, master",master of puppets,master of puppets,metallica,heavy metal
"Master, master",master of puppets,master of puppets,metallica,heavy metal
"Master, master",master of puppets,master of puppets,metallica,heavy metal
Where's the dreams that I've been after?,master of puppets,master of puppets,metallica,heavy metal
"Master, master",master of puppets,master of puppets,metallica,heavy metal
Promised only lies,master of puppets,master of puppets,metallica,heavy metal
"Laughter, laughter",master of puppets,master of puppets,metallica,heavy metal
All I hear and see is laughter,master of puppets,master of puppets,metallica,heavy metal
"Laughter, laughter",master of puppets,master of puppets,metallica,heavy metal
Laughing at my cries,master of puppets,master of puppets,metallica,heavy metal
Fix me,master of puppets,master of puppets,metallica,heavy metal
"Hell is worth all that, natural habitat",master of puppets,master of puppets,metallica,heavy metal
Just a rhyme without a reason,master of puppets,master of puppets,metallica,heavy metal
"Neverending maze, drift on numbered days",master of puppets,master of puppets,metallica,heavy metal
Now your life is out of season,master of puppets,master of puppets,metallica,heavy metal
I will occupy,master of puppets,master of puppets,metallica,heavy metal
I will help you die,master of puppets,master of puppets,metallica,heavy metal
I will run through you,master of puppets,master of puppets,metallica,heavy metal
Now I rule you too,master of puppets,master of puppets,metallica,heavy metal
Come crawling faster,master of puppets,master of puppets,metallica,heavy metal
Obey your master,master of puppets,master of puppets,metallica,heavy metal
Your life burns faster,master of puppets,master of puppets,metallica,heavy metal
Obey your master,master of puppets,master of puppets,metallica,heavy metal
Master,master of puppets,master of puppets,metallica,heavy metal
"Master of puppets, I'm pulling your strings",master of puppets,master of puppets,metallica,heavy metal
"Twisting your mind, smashing your dreams",master of puppets,master of puppets,metallica,heavy metal
"Blinded by me, you can't see a thing",master of puppets,master of puppets,metallica,heavy metal
Just call my name 'cause I'll hear you scream,master of puppets,master of puppets,metallica,heavy metal
"""Master, master""",master of puppets,master of puppets,metallica,heavy metal
Just call my name 'cause I'll hear you scream,master of puppets,master of puppets,metallica,heavy metal
"""Master, master""",master of puppets,master of puppets,metallica,heavy metal
Messenger of fear in sight,the thing that should not be,master of puppets,metallica,heavy metal
Dark deception kills the light,the thing that should not be,master of puppets,metallica,heavy metal
Hybrid children watch the sea,the thing that should not be,master of puppets,metallica,heavy metal
"Pray for father, roaming free",the thing that should not be,master of puppets,metallica,heavy metal
"Fearless wretch, insanity",the thing that should not be,master of puppets,metallica,heavy metal
"He watches, lurking beneath the sea",the thing that should not be,master of puppets,metallica,heavy metal
"Great old one, forbidden site",the thing that should not be,master of puppets,metallica,heavy metal
"He searches, hunter of the shadows is rising",the thing that should not be,master of puppets,metallica,heavy metal
Immortal,the thing that should not be,master of puppets,metallica,heavy metal
In madness you dwell,the thing that should not be,master of puppets,metallica,heavy metal
Crawling chaos underground,the thing that should not be,master of puppets,metallica,heavy metal
Cult has summoned twisted sound,the thing that should not be,master of puppets,metallica,heavy metal
Out from ruins once possessed,the thing that should not be,master of puppets,metallica,heavy metal
"Fallen city, living death",the thing that should not be,master of puppets,metallica,heavy metal
"Fearless wretch, insanity",the thing that should not be,master of puppets,metallica,heavy metal
"He watches, lurking beneath the sea",the thing that should not be,master of puppets,metallica,heavy metal
Timeless sleep has been upset,the thing that should not be,master of puppets,metallica,heavy metal
"He awakens, hunter of the shadows is rising",the thing that should not be,master of puppets,metallica,heavy metal
Immortal,the thing that should not be,master of puppets,metallica,heavy metal
In madness you dwell,the thing that should not be,master of puppets,metallica,heavy metal
In madness you dwell,the thing that should not be,master of puppets,metallica,heavy metal
Not dead which eternal lie,the thing that should not be,master of puppets,metallica,heavy metal
"Stranger eons, death may die",the thing that should not be,master of puppets,metallica,heavy metal
Drain you of your sanity,the thing that should not be,master of puppets,metallica,heavy metal
